step,hour,pv_power_w,load_power_w,battery_soc_pct,battery_power_w,ev_power_w,grid_power_w,relay_recommendation,flexible_load_command,ev_charger_command,battery_mode,target_ev_power_w,reason
129,21.5,0,2697,68.86,-2697,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
130,21.67,0,3084,67.61,-3000,0,84,shed_low_priority_load,hold,hold,normal,0,No control action required.
131,21.83,0,2858,66.42,-2858,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
132,22.0,0,2759,65.27,-2759,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
133,22.17,0,880,64.9,-880,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
134,22.33,0,851,64.54,-851,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
135,22.5,0,985,64.13,-985,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
136,22.67,0,1251,63.61,-1251,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
137,22.83,0,1066,63.17,-1066,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
138,23.0,0,1224,62.66,-1224,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
139,23.17,0,1134,62.19,-1134,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
140,23.33,0,1099,61.73,-1099,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
141,23.5,0,1001,61.31,-1001,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
142,23.67,0,879,60.94,-879,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
143,23.83,0,1127,60.48,-1127,0,0,shed_low_priority_load,hold,hold,normal,0,No control action required.
